Date,year,dayYear365,month,monthDay,weekDay,hour,A,B,C,D
3/13/2019,2019,72,3,13,3,17,0,0.113,-2.64,-1.41
3/13/2019,2019,72,3,13,3,18,0,0.546,-2.69,-1.69
3/13/2019,2019,72,3,13,3,19,0,-0.126,-2.25,-1.85
3/13/2019,2019,72,3,13,3,20,0,-0.569,-1.79,-2.14
3/13/2019,2019,72,3,13,3,21,0,-0.653,-1.21,-2.36
3/13/2019,2019,72,3,13,3,22,0,-0.579,-0.39,-2.53
3/13/2019,2019,72,3,13,3,23,0,-0.412,-0.21,-2.38
3/13/2019,2019,72,3,13,3,24,20,-0.336,0.06,-2.37
3/14/2019,2019,73,3,14,4,1,-4.16,-0.066,0.22,-1.69
3/14/2019,2019,73,3,14,4,2,-23.38,0.152,0.21,-2.16
3/14/2019,2019,73,3,14,4,3,-25,0.342,-0.56,-2.02
3/14/2019,2019,73,3,14,4,4,-16.85,0.526,-0.53,-2.06
3/14/2019,2019,73,3,14,4,5,-20.39,0.408,-0.4,-1.94
3/14/2019,2019,73,3,14,4,6,-9.49,1.642,-0.14,-2.41
3/14/2019,2019,73,3,14,4,7,0,-0.305,-0.26,-1.91
3/14/2019,2019,73,3,14,4,8,5,-0.816,-0.28,-1.29
3/14/2019,2019,73,3,14,4,9,19.89,0.396,-0.59,-1.46
3/14/2019,2019,73,3,14,4,10,30,1.027,-0.99,-1.93
3/14/2019,2019,73,3,14,4,11,24.76,1.509,-1.39,-1.98
3/14/2019,2019,73,3,14,4,12,0,2.137,-1.25,-2.22
3/14/2019,2019,73,3,14,4,13,-20,1.691,-0.18,-2.16
3/14/2019,2019,73,3,14,4,14,-40,1.386,-1.62,-2.29
3/14/2019,2019,73,3,14,4,15,5,1.334,-1.43,-2.97
3/14/2019,2019,73,3,14,4,16,30,1.162,-1.34,-3.29
3/14/2019,2019,73,3,14,4,17,50,1.213,-0.67,-3.41
3/14/2019,2019,73,3,14,4,18,50.81,1.297,-0.41,-3.11
3/14/2019,2019,73,3,14,4,19,50.16,1.316,-0.28,-2.86
3/14/2019,2019,73,3,14,4,20,50,0.917,-0.39,-2.95
3/14/2019,2019,73,3,14,4,21,50,0.921,-0.6,-2.58
3/14/2019,2019,73,3,14,4,22,50,0.860,-0.74,-2.73
